"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","32","32","1","21.482035","0","32"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","6","6","1","4.046432","0","6"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","73","79","1","0.000000","0","79"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","9.391986","0","11"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","0.000000","0","7"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","5.611684","0","7"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","78","78","1","6.526944","0","78"
"/Engine/VREditor/TransformGizmo/Main.Main","49","10","10","1","7.744720","0","10"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","0.000000","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","14.741419","0","14"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","29.610382","0","24"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","49","9","9","1","0.000000","0","9"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","49","9","9","1","0.000000","0","9"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","0.000000","0","45"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","73","79","1","0.000000","0","79"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","0.000000","0","45"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","10","10","1","7.529745","0","10"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","10","10","1","8.550685","0","10"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","13","14","1","0.000000","0","14"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","6","6","1","1.306406","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","6","6","1","1.124626","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","27","27","1","30.147257","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","11","11","1","11.599072","0","11"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","11","12","1","12.969028","0","12"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","49","11","12","1","10.584669","0","12"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","21.138620","0","21"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","7","1","0.000000","0","7"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","12","12","1","1.343580","0","12"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","7.486611","0","11"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","10","10","1","7.948821","0","10"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","10","10","1","8.123555","0","10"
